Id,ElementName,string_sertificate,id_sertificate
1,Полиэтилентерефталат,PET,1
2,Полиэтилен высокой плотности,HDPE,2
3,Поливинилхлорид,PVC,3
4,Полиэтилен низкой плотности,LDPE,4
5,Полипропилен,PP,5
6,Полистирол,PS,6
7,Гофрированный картон,PAP,20
8,Другой картон,PAP,21
9,Бумага,PAP,22
10,Сталь,FE,40
11,Алюминий,ALU,41
12,Дерево,FOR,50
13,Пробка,FOR,51
14,Хлопок,TEX,60
15,Джут,TEX,61
16,Бесцветное стекло,GL,70
17,Зеленое стекло,GL,71
18,Коричневое стекло,GL,72
19,бутылочное стекло тёмно-коричневое,GL,73
20,Бутылочное стекло светло-коричневое,GL,74
21,Стекло с малым содержаниемсвинца,GL,75
22,Хрусталь,GL,76
25,Позолоченноестекло,GL,79
26,Бумага и картон/различные материалы,,80
27,Бумага и картон/пластик,,81
28,Бумага и картон/алюминий,,82
29,Бумага и картон/белая жесть,,83
30,Бумага и картон/пластик/ алюминий,,84
31,Бумага и картон/пластик/ алюминий/белая жесть,,85
32,Биоразлагаемый пластик,,87
33,Пластик/алюминий,,90
34,Пластик/белая жесть,,91
35,Пластик/различные металлы,,92
36,Стекло/пластик,,95
37,Стекло/алюминий,,96
38,Стекло/белая жесть,C/GL,97
39,Стекло/различные металлы,C/GL,98
40,Прочие пластмассы,Other,7
41,Акрилонитрилбутадиенстирол,ABS,0
42,Вощеная бумага,PBD,23
43,Свинцово-кислотный аккумулятор,Lead,8
44,Щелочной элемент,,9
45,Никель-кадмиевый аккумулятор,NiCD,10
46,Никель-металл-гидридный аккумулятор,NiMH,11
47,Литиевый элемент,Li,12
48,Серебряно-цинковый аккумулятор,SO,13
49,Марганцево-цинковый элемент,CZ,14
