id,area,district
1,"Абельмановская Застава, площадь",5
2,Абельмановская улица,5
3,Абрикосовский переулок,5
4,"Академика Петровского, улица",5
5,"Академика Сахарова, проспект",5
6,Барыковский переулок,5
7,"Басманный 1-й, переулок",5
8,Басманный переулок,5
9,Басманный тупик,5
10,"Бауманская 2-я, улица",5
11,Вадковский переулок,5
12,Валовая улица,5
13,"Варварка, улица",5
14,"Варварские Ворота, площадь",5
15,Варсонофьевский переулок,5
16,Рубцовская набережная,5
17,Ружейный переулок,5
18,Руновский переулок,5
19,Русаковская улица,5
20,Рыбников переулок,5
21,Авангардная улица,4
22,"Авиаконструктора Микояна, улица",4
23,"Авиаконструктора Сухого, улица",4
24,"Авиаконструктора Яковлева, улица",4
25,Авиационный переулок,4
26,Онежская улица,4
27,"Острякова, улица",4
28,Охтинская улица,4
29,Охтинский проезд,4
30,Новый Зыковский проезд,4
31,"Расковой, переулок",4
32,"Расковой, площадь",4
33,"Расковой, улица",4
34,Рогачёвский переулок,4
35,"Розанова, улица",4
36,Дворцовая аллея,4
37,Дегунинская улица,4
38,Дегунинский проезд,4
39,Деповская улица,4
40,Дмитровский проезд,4
41,Ростокинская улица,7
42,"Ротерта, улица",7
43,"Рудневой, улица",7
44,"Русанова, проезд",7
45,"Руставели, улица",7
46,"Слепнёва, улица",7
47,Снежная улица,7
48,"Советской Армии, улица",7
49,Стандартная улица,7
50,Станционная улица,7
51,Федоскинская улица,7
52,"Фонвизина, улица",7
53,"Фёдорова, улица",7
54,Угличская улица,7
55,Узкий переулок,7
56,Уржумская улица,7
57,Хибинский проезд,7
58,Хованская улица,7
59,Холмогорская улица,7
60,Хотьковская улица,7
61,Яузская аллея,3
62,"Юности, улица",3
63,"Черкизовская 3-я, улица",3
64,Черницынский проезд,3
65,"Чечулина, улица",3
66,Чусовская улица,3
67,"Чёрное Озеро, улица",3
68,"Ширяевский 2-й, переулок",3
69,"Шитова, набережная",3
70,"Шумкина, улица",3
71,Магнитогорская улица,3
72,Мажоров переулок,3
73,"Майский, просека",3
74,Малая Оленья улица,3
75,Малая Остроумовская улица,3
76,"Лазо, улица",3
77,Ланинский переулок,3
78,Лениногорская улица,3
79,Лермонтовская улица,3
80,Лечебная улица,3
81,Крюковский тупик,8
82,Кубанская улица,8
83,Кузнечный тупик,8
84,Кузьминская улица,8
85,"Крутицкий Вал, улица",8
86,"Лапина, улица",8
87,Левый тупик,8
88,Лермонтовский проспект,8
89,Летняя улица,8
90,"Лефортовский Вал, улица",8
91,Егорьевский проезд,8
92,Ейская улица,8
93,Есенинский бульвар,8
94,Дубровский проезд,8
95,Душинская улица,8
96,Дюссельдорфский парк,8
97,Речной проезд,8
98,"Рогожский Посёлок, улица",8
99,Рязанский проспект,8
100,"Паперника, улица",8
101,"Гагарина, площадь",2
102,"Газопровод, улица",2
103,Гамсоновский переулок,2
104,"Генерала Белова, улица",2
105,Городская улица,2
106,"Городянка, улица",2
107,Гурьевский проезд,2
108,Малая Юшуньская улица,9
109,"Марии Ульяновой, улица",9
110,"Мартина Лютера Кинга, площадь",9
111,"Маршала Савицкого, улица",9
112,"Мелитопольская 1-я, улица",9
113,"Милицейский, посёлок",9
114,Миргородская улица,9
115,"Миргородский 1-й, переулок",9
116,Миргородский проезд,9
117,Молодёжная улица,9
118,Мценская улица,9
119,"Авиаторов, улица",1
120,"Академика Анохина, улица",1
121,"Академика Павлова, улица",1
122,"Академика Петрова, площадь",1
123,"Академика Хохлова, улица",1
124,"Алексея Свиридова, улица",1
125,"Алябьева, улица",1
126,Аминьевский мост,1
127,Аминьевское шоссе,1
128,"Артамонова, улица",1
129,Аэрофлотская улица,1
130,Строгинский бульвар,6
131,Строгинский мост,6
132,Строгинское шоссе,6
133,Строительный проезд,6
134,Сходненская улица,6
135,Сходненский проезд,6
136,Сходненский тупик,6
137,"Калинина, улица",12
138,"Каменка, улица",12
139,Каштановая аллея,12
140,"Колумба, площадь",12
141,Колхозная улица,12
